;ug;loc;da;ti;tf;tm
506;Rio Grande do Sul;Total;Estadual;4,7;4,6;5,5
507;Rio Grande do Sul;Urbana;Estadual;6,0;4,6;5,5
508;Rio Grande do Sul;Rural;Estadual;4,2;4,5;6,3
509;Rio Grande do Sul;Total;Municipal;7,2;4,6;5,1
510;Rio Grande do Sul;Urbana;Municipal;7,3;4,5;5,1
511;Rio Grande do Sul;Rural;Municipal;5,7;4,8;5,3
512;Rio Grande do Sul;Total;Privada;8,9;4,6;5,8
513;Rio Grande do Sul;Urbana;Privada;8,9;4,6;5,7
514;Rio Grande do Sul;Rural;Privada;8,6;4,4;8,4
515;Rio Grande do Sul;Total;Pública;7,2;4,6;5,6
516;Rio Grande do Sul;Urbana;Pública;7,3;4,6;5,5
517;Rio Grande do Sul;Rural;Pública;5,6;4,7;6,9
518;Mato Grosso do Sul;Total;Total;6,0;4,9;5,9
519;Mato Grosso do Sul;Urbana;Total;6,1;4,9;5,9
520;Mato Grosso do Sul;Rural;Total;4,8;5,0;5,9
521;Mato Grosso do Sul;Total;Federal;;5,0;5,3
522;Mato Grosso do Sul;Urbana;Federal;;5,0;5,3
523;Mato Grosso do Sul;Rural;Federal;;;4,8
524;Mato Grosso do Sul;Total;Estadual;10,0;5,7;5,8
525;Mato Grosso do Sul;Urbana;Estadual;10,0;5,7;5,8
526;Mato Grosso do Sul;Rural;Estadual;;4,9;5,7
527;Mato Grosso do Sul;Total;Municipal;6,1;4,7;8,5
528;Mato Grosso do Sul;Urbana;Municipal;6,2;4,6;
529;Mato Grosso do Sul;Rural;Municipal;4,8;5,0;8,5
530;Mato Grosso do Sul;Total;Privada;5,4;4,8;6,8
531;Mato Grosso do Sul;Urbana;Privada;5,4;4,7;6,7
532;Mato Grosso do Sul;Rural;Privada;5,4;9,9;9,4
533;Mato Grosso do Sul;Total;Pública;6,1;4,9;5,8
534;Mato Grosso do Sul;Urbana;Pública;6,2;4,9;5,8
535;Mato Grosso do Sul;Rural;Pública;4,8;5,0;5,7
536;Mato Grosso;Total;Total;5,3;4,5;5,1
537;Mato Grosso;Urbana;Total;5,3;4,5;5,0
538;Mato Grosso;Rural;Total;4,6;4,6;5,8
539;Mato Grosso;Total;Federal;;;8,0
540;Mato Grosso;Urbana;Federal;;;7,5
541;Mato Grosso;Rural;Federal;;;9,4
542;Mato Grosso;Total;Estadual;;4,5;4,8
543;Mato Grosso;Urbana;Estadual;;4,5;4,8
544;Mato Grosso;Rural;Estadual;;4,4;4,9
545;Mato Grosso;Total;Municipal;5,3;4,5;
546;Mato Grosso;Urbana;Municipal;5,3;4,5;
547;Mato Grosso;Rural;Municipal;4,6;4,7;
548;Mato Grosso;Total;Privada;5,3;4,6;5,6
549;Mato Grosso;Urbana;Privada;5,3;4,6;5,7
550;Mato Grosso;Rural;Privada;4,4;4,5;4,4
551;Mato Grosso;Total;Pública;5,3;4,5;5,0
552;Mato Grosso;Urbana;Pública;5,3;4,5;4,9
553;Mato Grosso;Rural;Pública;4,6;4,6;5,8
554;Goiás;Total;Total;6,2;5,0;5,7
555;Goiás;Urbana;Total;6,3;5,0;5,7
556;Goiás;Rural;Total;4,8;4,8;6,6
557;Goiás;Total;Federal;7,3;5,5;9,6
558;Goiás;Urbana;Federal;7,3;5,5;9,2
559;Goiás;Rural;Federal;;;10,8
560;Goiás;Total;Estadual;10,3;5,5;5,6
561;Goiás;Urbana;Estadual;10,3;5,5;5,6
562;Goiás;Rural;Estadual;;4,6;4,6
563;Goiás;Total;Municipal;6,5;4,9;5,9
564;Goiás;Urbana;Municipal;6,5;4,9;6,1
565;Goiás;Rural;Municipal;4,7;4,8;4,1
566;Goiás;Total;Privada;5,5;4,6;5,5
567;Goiás;Urbana;Privada;5,5;4,6;5,5
568;Goiás;Rural;Privada;6,3;4,7;7,2
569;Goiás;Total;Pública;6,5;5,1;5,7
570;Goiás;Urbana;Pública;6,5;5,1;5,7
571;Goiás;Rural;Pública;4,7;4,8;6,5
572;Distrito Federal;Total;Total;6,5;5,3;5,4
573;Distrito Federal;Urbana;Total;6,5;5,3;5,4
574;Distrito Federal;Rural;Total;5,9;5,9;5,9
575;Distrito Federal;Total;Federal;;5,0;6,2
576;Distrito Federal;Urbana;Federal;;5,0;5,8
577;Distrito Federal;Rural;Federal;;;8,5
578;Distrito Federal;Total;Estadual;5,2;5,4;5,2
579;Distrito Federal;Urbana;Estadual;5,1;5,4;5,2
580;Distrito Federal;Rural;Estadual;5,7;5,8;5,2
581;Distrito Federal;Total;Privada;7,4;5,1;5,8
582;Distrito Federal;Urbana;Privada;7,4;5,0;5,8
583;Distrito Federal;Rural;Privada;7,5;7,5;5,8
584;Distrito Federal;Total;Pública;5,2;5,4;5,3
585;Distrito Federal;Urbana;Pública;5,1;5,4;5,2
586;Distrito Federal;Rural;Pública;5,7;5,8;5,9
587;;;;;;
588;;;;;;
589;;;;;;
